"ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","TotalPrkng","MaintFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# of Pets","# or % of Rentals Allowed","Title to Land","Area","Bath Ensuite # Of Pcs","Bath1 #Pcs","Bath1 Ensuite?","Bath1 Level","Bath2 #Pcs","Bath2 Ensuite?","Bath2 Level","Bath3 #Pcs","Bath3 Ensuite?","Bath3 Level","Bath4 #Pcs","Bath4 Ensuite?","Bath4 Level","Bath5 #Pcs","Bath5 Ensuite?","Bath5 Level","Bath6 #Pcs","Bath6 Ensuite?","Bath6 Level","Bath7 #Pcs","Bath7 Ensuite?","Bath7 Level","Bath8 #Pcs","Bath8 Ensuite?","Bath8 Level","Baths Concatenation","Bds In Bsmt","Bds Not In Bsmt","City","Complex/Subdivision Name","Concatenated Rooms","Confirm Sold Date","Cumulative DOM","Cumulative DOMLS","Days On MLS","Dwelling Classification","Entry Date","Entry Date Delay","Expiry Date","Fireplaces","Floor Area - Unfinished","Floor Area Fin - Abv Main","Floor Area Fin - Basement","Floor Area Fin - BLW Main","Floor Area Fin - Main Flr","Floor Area Fin - Total","Full Baths","Full Height","General Date","Geocode Quality","GST Incl","Half Baths","How Sold","Jurisdiction","Land Lease Expiry Year","List Price","Measurement Type","Member Board Affiliation","Municipality","Neighborhood Code","No. Floor Levels","Postal Code","Price Date","Price Per SQFT","Processed Date","Prop Type","Property Disclosure","Province","Region","Restricted Age","Room 1 Dimension 1","Room 1 Dimension 2","Room 1 Level","Room 1 Type","Room 10 Dimension 1","Room 10 Dimension 2","Room 10 Level","Room 10 Type","Room 11 Dimension 1","Room 11 Dimension 2","Room 11 Level","Room 11 Type","Room 12 Dimension 1","Room 12 Dimension 2","Room 12 Level","Room 12 Type","Room 13 Dimension 1","Room 13 Dimension 2","Room 13 Level","Room 13 Type","Room 14 Dimension 1","Room 14 Dimension 2","Room 14 Level","Room 14 Type","Room 15 Dimension 1","Room 15 Dimension 2","Room 15 Level","Room 15 Type","Room 16 Dimension 1","Room 16 Dimension 2","Room 16 Level","Room 16 Type","Room 17 Dimension 1","Room 17 Dimension 2","Room 17 Level","Room 17 Type","Room 18 Dimension 1","Room 18 Dimension 2","Room 18 Level","Room 18 Type","Room 19 Dimension 1","Room 19 Dimension 2","Room 19 Level","Room 19 Type","Room 2 Dimension 1","Room 2 Dimension 2","Room 2 Level","Room 2 Type","Room 20 Dimension 1","Room 20 Dimension 2","Room 20 Level","Room 20 Type","Room 3 Dimension 1","Room 3 Dimension 2","Room 3 Level","Room 3 Type","Room 4 Dimension 1","Room 4 Dimension 2","Room 4 Level","Room 4 Type","Room 5 Dimension 1","Room 5 Dimension 2","Room 5 Level","Room 5 Type","Room 6 Dimension 1","Room 6 Dimension 2","Room 6 Level","Room 6 Type","Room 7 Dimension 1","Room 7 Dimension 2","Room 7 Level","Room 7 Type","Room 8 Dimension 1","Room 8 Dimension 2","Room 8 Level","Room 8 Type","Room 9 Dimension 1","Room 9 Dimension 2","Room 9 Level","Room 9 Type","Room Type Search","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","SP/OLP Ratio","Storeys in Building","Title Search","Tot Units in Strata Plan","Units in Development","Zoning"
"R2997773","F","40 6577 SOUTHDOWNE PLACE","H73","$789,000","5/5/2025","8","4","4","2,733","2007","18","4","$325.00","Townhouse","PETR, RENY","1","2","100","Freehold Strata","Sardis","6","2","No","Main","3","Yes","Main","3","No","Abv Main 2","3","No","Below",,"No",,,"No",,,"No",,,"No",,"|1BATH2|2BATH3|3BATH3|4BATH3|","0","4","Chilliwack","Harvest Square","|FOYERMN|DENMN|DINRMMN|KITCHMN|LVGRMMN|PBDRMMN|BDRMABV|BDRMABV|FLEXBLW|RECRMBLW|BDRMBLW|LAUNDBLW|","5/13/2025","8","8","8","Attached","5/5/2025 12:34 PM",,"11/30/2025","1","0","576","0","1,088","1,069","2,733","3","8'0","5/13/2025",,,"1","NOT USED",,,"$779,000",,"Fraser Valley Real Estate Board",,,"3","V2R 0H4","6/4/2025","$288.69","6/4/2025","Residential Attached","Yes","BC","Chilliwack",,"11'11","6'8","Main","Foyer","26'9","18'6","Below","Recreation Room","14'2","12'0","Below","Bedroom","6'10","3'0","Below","Laundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10'11","8'10","Main","Den",,,,,"10'11","9'11","Main","Dining Room","11'4","9'0","Main","Kitchen","14'11","12'8","Main","Living Room","12'10","11'11","Main","Primary Bedroom","17'1","11'11","Above","Bedroom","12'2","11'10","Above","Bedroom","15'4","7'11","Below","Flex Room",,"5/13/2025","$789,000","$288.69","1.01","1.01",,"No","54",,"CD-14"
"R3026210","A","137 6026 LINDEMAN STREET","H74","$789,000","7/11/2025","33","3","1","2,143","2019","6","3","$320.00","Townhouse","PETR, RENR","1","2","100","Freehold Strata","Sardis","4","4","Yes","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Hillcrest Lane","|KITCHMN|LVGRMMN|OFFICMN|FOYERMN|DINRMMN|BDRMBLW|BDRMBLW|PBDRMBLW|WICLOBLW|UTILBST|",,"33",,,"Attached","7/14/2025 3:55 PM",,"12/31/2025","1","532","0","0","804","807","1,611","1",,"7/11/2025",,"No","0",,,,"$789,000","Feet","Real Estate Board of Greater Vancouver",,,"3","V2R 0W1","7/12/2025","$368.18",,"Residential Attached","Yes","BC","Chilliwack",,"10'1","9'9","Main","Kitchen","5'8","9'4","Bsmt","Utility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15'5","17'8","Main","Living Room",,,,,"8'11","9'9","Main","Office","7'10","6'1","Main","Foyer","8'","10'1","Main","Dining Room","11'9","9'1","Below","Bedroom","11'9","9'","Below","Bedroom","15'5","13'10","Below","Primary Bedroom","4'9","9'8","Below","Walk-In Closet",,,,,,,,"No",,,"R4"
"R2981468","A","151 46150 THOMAS ROAD","H79","$789,900","3/21/2025","145","4","4","2,090","2022","3",,"$306.67","Townhouse",,"2",,,"First Nations Lease","Sardis","4","4","No","Bsmt","2","No","Main","4","No","Above","4","Yes","Above",,,,,,,,,,,,,,"1","3","Chilliwack",,"|KITCHMN|LVGRMMN|DINRMMN|DENMN|LVGRMBST|KITCHBST|BDRMBST|PBDRMABV|BDRMABV|BDRMABV|WICLOABV|",,"243",,,"Attached","3/24/2025 2:37 PM",,"12/31/2025","1","0","826","426","0","838","2,090","3",,"3/21/2025",,,"1",,,,"$789,900",,"Real Estate Board of Greater Vancouver",,,"3","V2R 6B3","3/24/2025","$377.94",,"Residential Attached","Yes","BC","Chilliwack",,"12'0","15'0","Main","Kitchen","8'9","11'0","Above","Bedroom","6'9","7'10","Above","Walk-In Closet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19'6","13'5","Main","Living Room",,,,,"10'2","10'0","Main","Dining Room","8'2","10'6","Main","Den","11'0","8'0","Bsmt","Living Room","11'0","5'0","Bsmt","Kitchen","7'2","10'4","Bsmt","Bedroom","12'10","13'0","Above","Primary Bedroom","9'8","13'0","Above","Bedroom",,,,,,,,"Yes",,,"R4"
"R3032550","A","19 46211 PROMONTORY ROAD","H73","$789,999","8/5/2025","8","4","4","2,280","2021","4","2",,"Row House (Non-Strata)","PETR, RENY","1",,"100","First Nations Lease","Sardis","4","2","No","Main","4","No","Bsmt","4","No","Above","4","Yes","Above",,"No",,,"No",,,"No",,,"No",,"|1BATH2|2BATH4|3BATH4|4BATH4|","1","3","Chilliwack","IRON HORSE","|DINRMMN|KITCHMN|GREATMN|BDRMABV|BDRMABV|PBDRMABV|RECRMBST|BDRMBST|PATIOMN|",,"8",,,"Attached","8/5/2025 9:00 AM",,"2/28/2026","1","0","0","0","0","2,280","2,280","3",,"8/5/2025",,,"1",,,"2133","$789,999",,"Fraser Valley Real Estate Board",,,"3","V2R 6E4","7/31/2025","$346.49",,"Residential Attached","Yes","BC","Chilliwack",,"14'6","11'0","Main","Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14'0","11'0","Main","Kitchen",,,,,"13'6","13'0","Main","Great Room","10'2","9'10","Above","Bedroom","10'0","10'2","Above","Bedroom","13'6","12'0","Above","Primary Bedroom","17'2","22'2","Bsmt","Recreation Room","12'10","15'6","Bsmt","Bedroom","13'0","6'0","Main","Patio",,,,,,,,"No",,,"RSV-3"
"R3012554","A","27 46791 HUDSON ROAD","H74","$795,000","6/6/2025","68","3","4","2,020","2009","16","4","$406.00","Townhouse","PETY","1","2",,"Freehold Strata","Sardis","3","3","Yes","Above","4","No","Above","2","No","Below","2","No","Bsmt",,,,,,,,,,,,,,"0","3","Chilliwack","WALKER CREEK","|LVGRMMN|DINRMMN|KITCHMN|FOYERMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|LAUNDABV|RECRMBST|STOREBST|",,"68",,,"Attached","6/6/2025 3:20 PM",,"12/31/2025","1","0","772","520","0","728","2,020","2",,"6/6/2025",,,"2",,,,"$795,000","Feet","Chilliwack & District Real Estate Board",,,"3","V2R 0L5","6/6/2025","$393.56",,"Residential Attached","Yes","BC","Chilliwack",,"13'2","15'","Main","Living Room","26'","14'5","Bsmt","Recreation Room","10'","11'","Bsmt","Storage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'3","13'","Main","Dining Room",,,,,"9'","10'5","Main","Kitchen","5'","9'2","Main","Foyer","14'9","13'2","Above","Primary Bedroom","9'6","4'6","Above","Walk-In Closet","10'2","11'","Above","Bedroom","11'2","12'3","Above","Bedroom","7'2","5'","Above","Laundry",,,,,,,,"Yes",,,"R4"
"R3029242","A","29 44849 ANGLERS BOULEVARD","H78","$799,800","7/21/2025","23","3","3","1,937","2016","9","2","$350.49","Townhouse","PETR","1",,,"Freehold Strata","Sardis","5","2","No","Main","4","No","Above","5","Yes","Above",,,,,,,,,,,,,,,,,"0","3","Chilliwack","The Current at Rivers Edge","|LVGRMMN|KITCHMN|DINRMMN|PATIOMN|PBDRMABV|BDRMABV|BDRMABV|RECRMBST|FOYERBST|",,"23",,,"Attached","7/21/2025 3:10 PM",,"12/31/2025","1","0","826","333","0","778","1,937","2",,"7/21/2025",,,"1",,,,"$799,800",,"Real Estate Board of Greater Vancouver",,,"3","V2R 0Y4","7/21/2025","$412.91",,"Residential Attached","Yes","BC","Chilliwack",,"17'","17'3","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11'10","8'2","Main","Kitchen",,,,,"9'11","12'5","Main","Dining Room","9'8","5'10","Main","Patio","16'9","11'7","Above","Primary Bedroom","9'3","9'5","Above","Bedroom","8'9","7'11","Above","Bedroom","11'10","11'6","Bsmt","Recreation Room","4'11","3'10","Bsmt","Foyer",,,,,,,"3","Yes","49",,"CD-19"
"R3019663","T","202 46211 PROMONTORY ROAD","H73","$799,900","6/24/2025","44","4","4","2,280","2025","0","2","$100.00","Row House (Non-Strata)","PETR, RENY","1","No Restriction",,"First Nations Lease","Sardis","4","2","No","Main","4","No","Above","4","Yes","Above","4","No","Bsmt",,"No",,,"No",,,"No",,,"No",,,"1","3","Chilliwack","Parkside Homes at Iron Horse","|GREATMN|DINRMMN|KITCHMN|LAUNDMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|RECRMBST|BDRMBST|",,"284",,,"Attached","6/24/2025 4:18 PM",,"8/7/2025","1","0","690","795","0","795","2,280","3",,"8/7/2025",,,"1",,,,"$799,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 6E4","6/24/2025","$350.83",,"Residential Attached","Yes","BC","Chilliwack",,"13'6","13'","Main","Great Room",,,,,"17'2","22'2","Bsmt","Recreation Room","12'10","15'6","Bsmt","Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14'6","11'","Main","Dining Room",,,,,"14'","11'","Main","Kitchen","6'","6'","Main","Laundry",,,,,"13'6","12'","Above","Primary Bedroom","4'6","5'6","Above","Walk-In Closet","10'2","10'","Above","Bedroom","10'2","9'10","Above","Bedroom",,,,,,,,"No",,,"RSV3"
"R3022488","A","5 47203 VISTA PLACE","H74","$799,900","7/3/2025","41","3","3","2,235","2021","4","2","$290.00","Townhouse","PETY, PETR, RENY, RENR","1","No Restriction","100","Freehold Strata","Sardis","4","2","No","Main","4","Yes","Above","4","No","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","VISTA TOWNHOMES","|LVGRMMN|KITCHMN|DINRMMN|FOYERMN|PBDRMABV|BDRMABV|BDRMABV|WICLOABV|LAUNDABV|",,"168",,,"Attached","7/3/2025 9:34 AM",,"12/31/2025","1","0","914","664","0","657","2,235","2",,"7/3/2025",,,"1",,,,"$799,900","Feet","Chilliwack & District Real Estate Board",,,"3","V2R 6E2","7/28/2025","$357.90",,"Residential Attached","Yes","BC","Chilliwack",,"15'","12'","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12'","12'","Main","Kitchen",,,,,"12'","10'","Main","Dining Room","6'","5'","Main","Foyer","14'","12'6","Above","Primary Bedroom","14'","10'","Above","Bedroom","10'","10'","Above","Bedroom","7'","6'","Above","Walk-In Closet","6'","8'","Above","Laundry",,,,,,,,"Yes",,"27","R4"
"R3001603","X","8 44405 FRESHWATER DRIVE","H73","$799,900","5/12/2025","93","4","3","1,783","2024","1","4","$346.55","Townhouse","PETR, RENY","1","2",,"Freehold Strata","Sardis","8","2","No","Main","4","No","Above","4","Yes","Above",,"No",,,"No",,,"No",,,"No",,,"No",,"|1BATH2|2BATH4|3BATH4|","0","4","Chilliwack","Sandstone @ Webster Crossing","|LVGRMMN|KITCHMN|DINRMMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|BDRMBLW|",,"109",,,"Attached","5/12/2025 2:30 PM",,"8/12/2025","1","0","757","280","0","746","1,783","2",,"8/12/2025",,,"1",,,,"$799,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 6A3","5/12/2025","$448.63",,"Residential Attached","Yes","BC","Chilliwack",,"14'4","13'5","Main","Living Room","12'7","17'6","Below","Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16'8","12'7","Main","Kitchen",,,,,"14'4","9'3","Main","Dining Room",,,,,"13'8","11'7","Above","Primary Bedroom","6'9","7'4","Above","Walk-In Closet","9'8","13'10","Above","Bedroom","9'9","11'10","Above","Bedroom",,,,,,,,,,,,"No",,,"CD-16"
"R3034980","A","202 46211 PROMONTORY ROAD","H73","$799,900","8/7/2025","6","4","4","2,280","2025","0","2","$100.00","Row House (Non-Strata)","PETR, RENY","1","No Restriction",,"First Nations Lease","Sardis","4","2","No","Main","4","No","Above","4","Yes","Above","4","No","Bsmt",,"No",,,"No",,,"No",,,"No",,,"1","3","Chilliwack","Parkside Homes at Iron Horse","|GREATMN|DINRMMN|KITCHMN|LAUNDMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|RECRMBST|BDRMBST|",,"290",,,"Attached","8/8/2025 8:55 AM",,"2/9/2026","1","0","690","795","0","795","2,280","3",,"8/7/2025",,"Yes","1",,,,"$799,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 6E4","8/7/2025","$350.83",,"Residential Attached","Yes","BC","Chilliwack",,"13'6","13'","Main","Great Room",,,,,"17'2","22'2","Bsmt","Recreation Room","12'10","15'6","Bsmt","Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14'6","11'","Main","Dining Room",,,,,"14'","11'","Main","Kitchen","6'","6'","Main","Laundry",,,,,"13'6","12'","Above","Primary Bedroom","4'6","5'6","Above","Walk-In Closet","10'2","10'","Above","Bedroom","10'2","9'10","Above","Bedroom",,,,,,,,"No",,,"RSV3"
"R3011734","A","9 46211 PROMONTORY ROAD","H73","$799,900","6/4/2025","70","4","4","2,280","2021","4","2",,"Row House (Non-Strata)","PETR, RENY","1",,"100","First Nations Lease","Sardis","4","2","No","Main","4","Yes","Above","4","No","Above","4","No","Bsmt",,"No",,,"No",,,"No",,,"No",,,"0","4","Chilliwack","Iron Horse","|LVGRMMN|DINRMMN|KITCHMN|LAUNDMN|PBDRMABV|BDRMABV|BDRMABV|RECRMBST|BDRMBLW|",,"139",,,"Attached","6/5/2025 10:53 AM",,"10/4/2025","1","0","690","795","0","795","2,280","3",,"6/4/2025",,,"1",,,"2133","$799,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 6E4","7/22/2025","$350.83",,"Residential Attached","Yes","BC","Chilliwack",,"13'6","13'","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14'6","11'","Main","Dining Room",,,,,"14'","11'","Main","Kitchen","4'","4'","Main","Laundry","13'6","12'","Above","Primary Bedroom","10'0","10'2","Above","Bedroom","10'2","9'10","Above","Bedroom","17'2","22'2","Bsmt","Recreation Room","12'10","15'6","Below","Bedroom",,,,,,,,"No",,,"RSV-3"
"R2997422","T","26 6026 LINDEMAN STREET","H74","$799,999","5/2/2025","74","4","4","2,270","2014","11",,"$308.00","Townhouse","PETR, RENY","1",,,"Freehold Strata","Sardis","0","2","No","Main","3","No","Above",,"No",,,"No",,"3","No","Above",,"No",,,"No",,,"No",,"9BATH3|9BATH3|9BATH3|9BATH3|","0","4","Chilliwack",,"|LVGRMMN|DINRMMN|KITCHMN|DENMN|PANTRMN|PBDRMABV|BDRMABV|BDRMABV|BDRMABV|",,"125",,,"Attached","5/2/2025 3:40 PM",,"7/15/2025",,"110","0","0","0","2,160","2,160","3",,"7/15/2025",,,"1",,,,"$799,999",,"Fraser Valley Real Estate Board",,,"1","V2R 0W1","6/16/2025","$352.42",,"Residential Attached","Yes","BC","Chilliwack",,"16'4","14'2","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17'","8'2","Main","Dining Room",,,,,"9'2","11'","Main","Kitchen","8'2","8'3","Main","Den","5'","6'","Main","Pantry","12'","11'","Above","Primary Bedroom","10'3","10'2","Above","Bedroom","10'3","10'3","Above","Bedroom","11'","10'2","Above","Bedroom",,,,,,,,"No",,,"R4"
"R2991000","P","44459 FRESHWATER DRIVE","H73","$800,000","4/16/2025","79","3","3","1,760","2020","5","4",,"Row House (Non-Strata)",,"1",,,"Freehold NonStrata","Sardis","4","2","No","Main","4","No","Above","4","Yes","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Webster Crossing","|FOYERBST|DENBST|UTILBST|DINRMMN|LVGRMMN|KITCHMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|","7/4/2025","79","79","79","Attached","4/16/2025 11:08 AM",,"10/31/2025","1","0","769","238","0","753","1,760","2","9'","7/4/2025",,,"1","NOT USED",,,"$809,900",,"Fraser Valley Real Estate Board",,,"3","V2R 6A3","7/16/2025","$454.55","7/16/2025","Residential Attached","Yes","BC","Chilliwack",,"5'4","4'9","Bsmt","Foyer","8'7","12'5","Above","Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8'7","11'5","Bsmt","Den",,,,,"6'4","7'5","Bsmt","Utility","13'9","7'9","Main","Dining Room","14'10","12'8","Main","Living Room","9'0","14'8","Main","Kitchen","12'4","13'2","Above","Primary Bedroom","6'6","6'2","Above","Walk-In Closet","10'3","10'6","Above","Bedroom",,"7/4/2025","$800,000",,,,,"No",,,"CD-16"
"R3030157","A","8 44523 MCLAREN DRIVE","H73","$800,000","7/23/2025","21","4","4","2,287","2006","19","4","$470.00","Townhouse","PETR","1","2",,"Freehold Strata","Sardis","3","4","No","Above","3","Yes","Above","2","No","Main","4","No","Bsmt",,"No",,,"No",,,"No",,,"No",,,"1","3","Chilliwack","The GROVE","|FOYERMN|LVGRMMN|DINRMMN|KITCHMN|LAUNDMN|PBDRMABV|BDRMABV|BDRMABV|BDRMBST|STMRMBLW|",,"107",,,"Attached","7/23/2025 2:08 PM",,"10/24/2025","1","0","913","672","0","702","2,287","3",,"7/23/2025",,,"1",,,,"$800,000",,"Fraser Valley Real Estate Board",,,"3","V2R 0C2","7/23/2025","$349.80",,"Residential Attached","Yes","BC","Chilliwack",,"15'3","9'8","Main","Foyer","8'11","3'6","Below","Steam Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18'11","13'6","Main","Living Room",,,,,"16'11","7'8","Main","Dining Room","13'0","9'1","Main","Kitchen","8'9","5'6","Main","Laundry","14'1","11'4","Above","Primary Bedroom","13'9","12'2","Above","Bedroom","13'1","12'2","Above","Bedroom","26'5","12'3","Bsmt","Bedroom",,,,,,,,"No",,,"CD-11"
"R3000146","F","5475 DRIFTWOOD STREET","H73","$800,000","5/8/2025","13","3","3","1,531","2018","7","4",,"Row House (Non-Strata)",,"1",,,"Freehold NonStrata","Sardis","8","2","No","Main","4","Yes","Above","4","No","Above",,,,,,,,,,,,,,,,"|1BATH2|2BATH4|3BATH4|","0","3","Chilliwack","Webster Crossing","|FOYERBLW|OFFICBLW|KITCHMN|LVGRMMN|DINRMABV|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|LAUNDABV|","5/21/2025","46","46","13","Attached","5/8/2025 10:45 AM",,"10/31/2025","1","0","681","0","191","659","1,531","2",,"5/21/2025",,,"1","NOT USED",,,"$809,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 6A3","6/4/2025","$522.53","6/4/2025","Residential Attached","Yes","BC","Chilliwack",,"8'10","6'4","Below","Foyer","3'1","5'","Above","Laundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4'4","9'8","Below","Office",,,,,"9'11","13'11","Main","Kitchen","12'2","15'6","Main","Living Room","10'","16'7","Above","Dining Room","16'8","11'8","Above","Primary Bedroom","8'1","7'1","Above","Walk-In Closet","11'3","11'","Above","Bedroom","8'10","9'9","Above","Bedroom",,"5/21/2025","$800,000","$522.53","0.99","0.99",,"No",,,"CD-16"
"R3003465","P","37 6577 SOUTHDOWNE PLACE","H73","$805,000","5/15/2025","50","4","4","2,782","2008","17","4","$325.00","Townhouse","PETR, RENY","1","2","100","Freehold Strata","Sardis","3","3","Yes","Main","2","No","Main","4","No","Above","4","No","Bsmt",,"No",,,"No",,,"No",,,"No",,,"1","3","Chilliwack","Harvest Square","|FOYERMN|DINRMMN|LVGRMMN|KITCHMN|PBDRMMN|WICLOMN|OFFICMN|BDRMABV|BDRMABV|RECRMBST|BDRMBST|STOREBST|UTILBST|","7/4/2025","50","50","50","Attached","5/15/2025 2:50 PM",,"11/15/2025","1","0","560","1,122","0","1,100","2,782","3",,"7/4/2025",,,"1","NOT USED",,,"$824,000","Feet","Chilliwack & District Real Estate Board",,,"3","V2R 0H4","7/18/2025","$289.36","7/18/2025","Residential Attached","Yes","BC","Chilliwack",,"11'5","7'6","Main","Foyer","17'0","11'9","Above","Bedroom",,,,,"30'9","18'9","Bsmt","Recreation Room","15'6","12'4","Bsmt","Bedroom","15'11","8'11","Bsmt","Storage","2'11","12'4","Bsmt","Utility",,,,,,,,,,,,,,,,,"11'5","10'5","Main","Dining Room",,,,,"12'11","14'9","Main","Living Room","11'1","9'1","Main","Kitchen","20'7","12'4","Main","Primary Bedroom","6'8","3'1","Main","Walk-In Closet","10'11","8'11","Main","Office",,,,,"12'2","11'9","Above","Bedroom",,"7/4/2025","$805,000",,,,,"No","54",,"CD-14"
"R3000647","F","36 44523 MCLAREN DRIVE","H73","$808,000","5/7/2025","13","3","3","2,478","2007","18","4","$475.00","Townhouse","PETR","1","2",,"Freehold Strata","Sardis","8","4","Yes","Main","2","No","Main","4","No","Above",,,,,,,,,,,,,,,,"|1BATH4|2BATH2|3BATH4|","0","3","Chilliwack",,"|LVGRMMN|DINRMMN|KITCHMN|PBDRMMN|BDRMABV|BDRMABV|","5/20/2025","275","269","12","Attached","5/8/2025 4:28 PM",,"12/31/2025","1","972","534","0","0","972","1,506","2",,"5/20/2025",,"No","1","NOT USED",,,"$819,000",,"Real Estate Board of Greater Vancouver",,,"3","V2R 0C2","6/2/2025","$326.07","6/2/2025","Residential Attached","Yes","BC","Chilliwack",,"13'","19'6","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'6","12'1","Main","Dining Room",,,,,"9'1","13'2","Main","Kitchen","11'2","13'2","Main","Primary Bedroom","12'4","12'2","Above","Bedroom","12'4","13'6","Above","Bedroom",,,,,,,,,,,,,,"5/20/2025","$808,000","$326.07","0.99","0.99",,"Yes",,,"CD-11"
"R3021428","T","8 44523 MCLAREN DRIVE","H73","$809,900","6/30/2025","23","4","4","2,287","2006","19","4","$470.00","Townhouse","PETR","1","2",,"Freehold Strata","Sardis","3","4","No","Above","3","Yes","Above","2","No","Main","4","No","Bsmt",,"No",,,"No",,,"No",,,"No",,,"1","3","Chilliwack","The GROVE","|FOYERMN|LVGRMMN|DINRMMN|KITCHMN|LAUNDMN|PBDRMABV|BDRMABV|BDRMABV|BDRMBST|STMRMBLW|",,"86",,,"Attached","6/30/2025 2:40 PM",,"7/23/2025","1","0","913","672","0","702","2,287","3",,"7/23/2025",,,"1",,,,"$809,900",,"Fraser Valley Real Estate Board",,,"3","V2R 0C2","6/30/2025","$354.13",,"Residential Attached","Yes","BC","Chilliwack",,"15'3","9'8","Main","Foyer","8'11","3'6","Below","Steam Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18'11","13'6","Main","Living Room",,,,,"16'11","7'8","Main","Dining Room","13'0","9'1","Main","Kitchen","8'9","5'6","Main","Laundry","14'1","11'4","Above","Primary Bedroom","13'9","12'2","Above","Bedroom","13'1","12'2","Above","Bedroom","26'5","12'3","Bsmt","Bedroom",,,,,,,,"No",,,"CD-11"
"R2989874","X","5577 DRIFTWOOD STREET","H73","$809,900","4/12/2025","111","3","3","1,577","2018","7","4",,"Row House (Non-Strata)",,"1",,,"Freehold NonStrata","Sardis","6","2","No","Main","4","No","Above","3","Yes","Above",,"No",,,"No",,,"No",,,"No",,,"No",,"|1BATH2|2BATH4|3BATH3|","0","3","Chilliwack","WEBSTER CROSSING","|LVGRMMN|KITCHMN|DINRMMN|PBDRMABV|WICLOABV|BDRMABV|PBDRMABV|RECRMBLW|FOYERBLW|",,"111",,,"Attached","4/14/2025 2:32 PM",,"7/31/2025","1","0","712","0","201","664","1,577","2",,"7/31/2025",,,"1",,,,"$809,900","Feet","Chilliwack & District Real Estate Board",,,"3","V2R 6A3","7/11/2025","$513.57",,"Residential Attached","Yes","BC","Chilliwack",,"17'2","12'9","Main","Living Room","9'8","8'10","Above","Primary Bedroom",,,,,,,,,"9'5","7'9","Below","Recreation Room","6'7","6'7","Below","Foyer",,,,,,,,,,,,,,,,,,,,,"13'6","11'0","Main","Kitchen",,,,,"16'9","9'10","Main","Dining Room",,,,,,,,,,,,,"16'1","13'4","Above","Primary Bedroom","8'0","5'10","Above","Walk-In Closet","11'3","11'3","Above","Bedroom",,,,,,,,"No",,,"CD-16"
